Song,id,danceability,energy,valence,ratings
cry on airplanes,1elEZGOMFRU5n7bnOtUaqi,0.763,0.372,0.76,2
Bennie And The Jets - Remastered 2014,3iJxloILmOu2NIRZ0OGyui,0.666,0.668,0.765,2
Afraid of Heights,0P44AUPRzaIAHNWquN0fGR,0.543,0.991,0.766,2
Renegades Of Funk,5YBVDvTSSSiqv7KZDeUlXA,0.651,0.908,0.769,2
The Boys Are Back In Town,2iAq1y8jEVOQM6OA8L0XtO,0.319,0.712,0.773,2
Over My Head (Better Off Dead),3SO0vfryYv381w1ImgWONG,0.44,0.919,0.773,2
Everyday People,7lL2lMWNtzOcf5HnEudNgn,0.813,0.619,0.774,2
Clap Your Hands,18cST7DK31Ab2rTH1POP6A,0.699,0.87,0.778,2
Cold Nights,1q3AoLCoawd8Gpm9wP7sHi,0.941,0.421,0.787,2
The Joker,1bp2IO61zbQrbWNmKKxg3f,0.596,0.448,0.796,2
Like The First Time - House Mix,5ABnK6bOqbsIRVsrc1UBOt,0.775,0.876,0.797,2
Me and Julio Down by the Schoolyard,6vxHp3CDNo0afgKGp2yi1E,0.626,0.816,0.798,2
Ashes to Ashes,2lJa0SY7vZpvJ7QDFanOuZ,0.696,0.871,0.8,2
Get Up Offa That Thing,0nyrltZrQGAJMBZc1bYvuQ,0.883,0.664,0.8,2
Come On Eileen,5uzNa0SBGOe5pPnstWHMCt,0.466,0.615,0.812,2
Fire in Cairo,71Znjl8mUrHfSg38OQU8bb,0.587,0.713,0.816,2
no song without you,3KKUf8F2hktFscLgbH4YwR,0.778,0.462,0.817,2
Geno - 2000 Remaster,7gb626DDDHoiuVAGZEnlJk,0.481,0.6,0.818,2
Inside Of You,6okaxit4V1bU6yIVVsP836,0.435,0.884,0.82,2
Fascination,4uqNn56KFQ7NtJ35xWZKvf,0.491,0.831,0.828,2
Only You,2ZaYFNn1YQuLSVdHhanr4Q,0.545,0.255,0.831,2
Two Princes,4ePP9So5xRzspjLFVVbj90,0.543,0.912,0.836,2
Miss You - Remastered,5pTWpY8l7B1XcQnijEFGFj,0.795,0.71,0.845,2
Come Out And Play (Keep ‘Em Separated),0Yb5Kfpf3boElZNa61wPdJ,0.476,0.856,0.847,2
Duck And Run,0s8OsDxW96cl290PcsI2mX,0.524,0.919,0.848,2
To the Moon,65AABj5XsDcxGT92w3jK0o,0.703,0.352,0.85,2
Should I Stay or Should I Go - Remastered,3v8PlUFGQQDBIk1J86waCo,0.742,0.844,0.85,2
How Bizarre,6RT3PxDEQOa7m6tK502DNa,0.784,0.675,0.854,2
Down On The Corner,4YMLW13PuuO7o3jkIWlKAs,0.831,0.544,0.856,2
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,0.794,0.811,0.862,2
Superstition,4dwrL3Z5U2RZ6MZiKE2PgL,0.648,0.751,0.863,2
Lonely Boy,6wGMLoEqD2k3RBXFHD0yUp,0.588,0.598,0.866,2
I Was Made For Lovin' You,2ZSCy3P1QzpJySCWA6NRIU,0.768,0.852,0.867,2
Message In A Bottle - Remastered 2003,3bN4tg6rnNPy9GCkGhym4T,0.577,0.808,0.869,2
Smooth Criminal,2T3blUc9Jnui2a0ZhuNOag,0.653,0.966,0.874,2
Polyamorous,1OvDGGu8KDbchlJTlM48Mr,0.544,0.895,0.875,2
Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,0.876,2
Don't Stop,4SXU3lUZ1eb4JWWbkQw43Y,0.686,0.632,0.88,2
Paralyzer,6k1njNBYUIQgWJLG4ed26y,0.646,0.938,0.888,2
Good Times,0G3fbPbE1vGeABDEZF0jeG,0.87,0.657,0.893,2
My Sharona,1HOMkjp0nHMaTnfAkslCQj,0.586,0.7,0.897,2
It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),6Xb5klX1nnSUxoh2AyZd54,0.674,0.89,0.9,2
Just Can't Get Enough - Live in Hammersmith,5LAdBsIfjzAsusjc6WSLmH,0.653,0.975,0.911,2
Listen to the Music,7Ar4G7Ci11gpt6sfH9Cgz5,0.645,0.598,0.913,2
Don't You (Forget About Me) - Remastered,0A4PZuepTcIQVvA5m7R0M1,0.602,0.784,0.918,2
What I Like About You,6NdcSEhpGGAYXNnnhGS2s6,0.542,0.915,0.92,2
Groove Is in the Heart,2UVLuddklEVak5PXgC7baA,0.694,0.881,0.924,2
Dance Little Sister,4o9Kj7onklt6xbYl3jVArp,0.722,0.696,0.93,2
Easy Lover,7INi4pMPG4IE0Smx5y4KVf,0.749,0.699,0.935,2
Twist And Shout - Remastered 2009,5ZBeML7Lf3FMEVviTyvi8l,0.482,0.849,0.937,2
Brimful of Asha - Norman Cook Remix,5BegkNkGXa6TUobnxy5LFL,0.663,0.957,0.937,2
Wrong Way,6uUqBB6wXrcIJWssTRfIYE,0.663,0.671,0.955,2
Late in the Evening,2h23bjG8B3bcD47HBu6bHG,0.72,0.88,0.961,2
Stuck In The Middle With You,1b7LMtXCXGc2EwOIplI35z,0.795,0.564,0.961,2
Every Kinda People,5jkUfQV3wlplyoz0PUja09,0.631,0.547,0.962,2
Why Can't We Be Friends?,413T0g8pNNXYX6t5RqHvx7,0.776,0.714,0.962,2
Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,0.965,2
Teardrops - Single Version,5HiKQLlJ3LAuz8J9yHB0HX,0.879,0.693,0.966,2
Kiss On My List - Remastered,3Jrf9MHZZWx3cXBeMkZWUu,0.806,0.847,0.97,2
Start Me Up - Remastered,7HKez549fwJQDzx3zLjHKC,0.631,0.932,0.971,2
Driver's Seat,0fJFBbpUxTwjhh1ScBQjeX,0.754,0.804,0.972,2
Talking In Your Sleep,7fRvtXvJMpGfTLdF0M09a1,0.72,0.967,0.977,2
