Song,id,danceability,energy,valence,ratings
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,0.12,0
Wild Wild Son - Club Mix,2Fgo49RzWsVWKcwAksPWq8,0.526,0.867,0.12,0
Eagle,7uI4m3uAKy2WWH1mJZAYzO,0.339,0.142,0.121,0
Tegel,5Vh9sUjTiivWtvKmif40wy,0.233,0.0997,0.123,0
Los Feliz,0efOqjQkOgWPEZTzAZSB6j,0.575,0.373,0.123,0
Underwater - Tinlicker Remix,7ku9ctunOcfqWP6z04QTRY,0.627,0.857,0.124,0
Vague,3IOXceWmoCrTyl5TXFDzWu,0.32,0.253,0.125,0
Feels Like We're Dying,0IvaKmBYBLVcdP0Ft8Dwik,0.579,0.411,0.125,0
Night Surrender,0kox8HaEK0EfeWcNVTOKTy,0.211,0.00977,0.13,0
Supersonic (feat. Christian Burns),2d0UsAbvuAiCyR4oV6fiOq,0.34,0.923,0.13,0
Night,7D04SRPxcqHXjoK0YFPuAq,0.428,0.00129,0.13,0
Fleur février,16A82OAjqWawjDM8K5HCdm,0.428,0.0517,0.13,0
From Yesterday,4ogyT8HqLV6IdCepscSkh3,0.467,0.876,0.131,0
Woodland Heart,1z7GhYG0KqAmebdLfuoYho,0.516,0.177,0.132,0
The Disappearance of the Unmoved Mover,62uEGHla1SOT2rhVAyMn6K,0.627,0.427,0.132,0
Heavenly,0M6TLjxixptslrmQpWbRoR,0.539,0.432,0.133,0
Colgando,2dVvMXDWBY0U7VjCjOjVH9,0.567,0.39,0.133,0
Falling Ashes,6Zr0mt1HdVUwTEdMwqPXsC,0.332,0.255,0.134,0
No More 54,7LgkgNtOYgWfSJsGgDXFop,0.541,0.967,0.134,0
Blow,4nX11Rjdh7AuM8Ezb73m1R,0.603,0.902,0.135,0
Night on Earth,2OAOS8qkuKu5Kd8TvA5BAA,0.268,0.494,0.136,0
Images,4sqIHHGPprOZNdW5zMx36p,0.387,0.00579,0.137,0
Flowing,06G5MnuMA3cLbNwjFs8zIS,0.2,0.138,0.138,0
Momentum,7Ln0DgKSrDG0ALbtNwGeml,0.636,0.248,0.138,0
The Times Are Tired,1c6aKOdOoR1TFqn0JTyc4R,0.216,0.195,0.14,0
